Date,Date_Time,Num_Coins,Reported_Hash,Calculated_Hash,Diff
2021-12-07,07:31:46.324781,877957.85064196,31,24,463.4935373200569
2021-12-07,07:46:56.750097,878330.28175613,31,24,372.4311141700018
2021-12-07,08:02:07.296317,878330.28175613,31,29,0.0
2021-12-07,08:17:17.683331,879966.57193821,31,29,1636.2901820800034
2021-12-07,08:32:28.184486,880460.08421371,31,24,493.5122754999902
2021-12-07,08:47:38.617580,880749.04384123,31,29,288.9596275199437
2021-12-07,09:02:49.181296,880749.04384123,31,44,0.0
2021-12-07,09:17:59.741863,881601.91117232,31,48,852.867331090034
2021-12-07,09:33:10.133042,881786.87021286,31,34,184.95904054003768
2021-12-07,10:18:30.906461,883417.99334373,31,15,1631.1231308699353
2021-12-07,19:21:05.569905,883977.96998382,31,29,559.9766400899971
2021-12-07,19:36:15.971448,884415.46509496,31,15,437.49511113995686
2021-12-07,19:51:26.553512,884667.43860272,31,29,251.97350776009264
2021-12-07,20:06:37.035207,886130.68020772,31,63,1463.2416049999883
2021-12-07,20:21:47.368821,887880.48364713,31,68,1749.8034394099377
2021-12-07,20:36:57.722947,888883.18289538,31,48,1002.6992482499918
2021-12-07,20:52:08.138731,888883.18289538,31,19,0.0
2021-12-07,21:07:18.560688,889088.27315849,31,10,205.09026311000343
2021-12-07,21:22:29.021489,889854.50912817,31,39,766.2359696800122
2021-12-07,21:37:39.475742,891402.59887121,31,44,1548.0897430400364
2021-12-07,21:52:49.931854,892420.6929871,31,34,1018.0941158899803
2021-12-07,22:08:00.490389,893307.6445986,31,44,886.9516115000006
2021-12-07,22:23:11.368254,894061.42669259,31,39,753.7820939900121
2021-12-07,22:38:21.926670,894554.93171302,31,29,493.5050204299623
2021-12-07,22:53:32.457016,894554.93171302,31,24,0.0
2021-12-08,07:52:00.887130,894712.5365816,30,0,157.60486858000513
2021-12-08,08:07:11.807633,895823.72738536,31,10,1111.1908037600806
2021-12-08,08:22:22.122362,896023.5667936,31,10,199.8394082399318
2021-12-08,08:37:32.588201,896023.5667936,31,24,0.0
2021-12-08,08:52:42.975287,896309.69891655,31,34,286.1321229500463
2021-12-08,09:07:53.702813,897070.23640073,31,29,760.5374841799494
2021-12-08,09:23:04.113680,897654.17549852,31,48,583.9390977900475
2021-12-08,09:38:14.636445,898751.47543722,31,58,1097.299938699929
2021-12-08,09:53:26.206711,899524.90566377,31,39,773.4302265500883
2021-12-08,10:08:36.655827,900420.27775778,31,24,895.3720940100029
2021-12-08,10:23:47.213192,900756.77565684,31,24,336.49789905990474
2021-12-08,10:38:57.699925,901164.55096886,31,29,407.7753120200941
2021-12-08,10:54:08.194939,901534.17927097,30,29,369.6283021100098
2021-12-08,11:09:18.704070,901829.68734086,31,58,295.5080698899692
2021-12-08,11:24:29.307058,903298.47084259,31,63,1468.7835017299512
2021-12-08,11:39:39.985910,904018.77343764,31,58,720.3025950500742
2021-12-08,11:54:50.708687,905041.25993142,31,48,1022.4864937799284
2021-12-08,12:10:01.158723,905560.87464907,31,19,519.6147176499944
2021-12-08,12:25:11.550031,906135.24578153,31,34,574.3711324600736
2021-12-08,12:40:22.585918,906407.825015,31,44,272.5792334699072
2021-12-08,13:00:04.482316,907219.12924369,31,34,811.3042286901036
2021-12-08,13:15:14.974298,908125.03959102,31,29,905.9103473299184
2021-12-08,13:30:25.340880,908491.72749946,31,29,366.6879084400134
2021-12-08,13:45:36.298909,908736.35870668,31,39,244.6312072200235
2021-12-08,14:00:46.889142,909124.27346215,31,29,387.914755470003
2021-12-08,14:15:57.454512,910310.95969652,31,53,1186.6862343699904
2021-12-08,14:31:08.113465,911262.01289913,31,82,951.0532026099972
2021-12-08,14:46:18.285256,912330.94432036,31,53,1068.931421229965
2021-12-08,15:01:28.643699,913520.08422727,31,19,1189.1399069100153
2021-12-08,15:16:39.023720,913610.24757154,31,15,90.16334426996764
2021-12-08,15:31:49.441452,913810.70721875,31,19,200.45964721008204
2021-12-08,15:46:59.826098,913999.35381631,31,15,188.64659755991303
2021-12-08,16:02:10.165865,914697.89848018,31,24,698.5446638700087
2021-12-08,16:17:20.546197,915209.76163965,31,39,511.8631594700273
2021-12-08,16:32:31.413280,915630.95443898,31,63,421.1927993299905
2021-12-08,16:47:41.740973,916070.71077429,31,63,439.7563353100559
